"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:52:52.7747104 PM","Photos.exe","6004","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{6381A433-F7FC-11EF-8814-806E6F6E6963}\0000","REPARSE","Desired Access: Read"
"2:52:52.7747221 PM","Photos.exe","6004","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{6381A433-F7FC-11EF-8814-806E6F6E6963}\0000","REPARSE","Desired Access: Read"
"2:52:52.7747334 PM","Photos.exe","6004","RegOpenKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","Desired Access: Read"
"2:52:52.7747436 PM","Photos.exe","6004","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"2:52:52.7747490 PM","Photos.exe","6004","RegQueryValue","HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000\PruningMode","NAME NOT FOUND","Length: 52"
"2:52:52.7747551 PM","Photos.exe","6004","RegCloseKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000","SUCCESS",""
"2:52:52.7747634 PM","Photos.exe","6004","RegOpenKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD&REV_00\3&267a616a&0&10","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"2:52:52.7747703 PM","Photos.exe","6004","RegQueryValue","HKLM\System\CurrentControlSet\Enum\PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD&REV_00\3&267a616a&0&10\HardwareID","BUFFER OVERFLOW","Length: 268"
"2:52:52.7747767 PM","Photos.exe","6004","RegCloseKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD&REV_00\3&267a616a&0&10","SUCCESS",""
"2:52:52.7747829 PM","Photos.exe","6004","RegOpenKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD&REV_00\3&267a616a&0&10","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"2:52:52.7748130 PM","Photos.exe","6004","RegQueryValue","HKLM\System\CurrentControlSet\Enum\PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD&REV_00\3&267a616a&0&10\HardwareID","SUCCESS","Type: REG_MULTI_SZ, Length: 292, Data: PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD&REV_00, PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD, PCI\VEN_80EE&DEV_BEEF&CC_030000, PCI\VEN_80EE&DEV_BEEF&CC_0300"
"2:52:52.7748186 PM","Photos.exe","6004","RegCloseKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_80EE&DEV_BEEF&SUBSYS_040515AD&REV_00\3&267a616a&0&10","SUCCESS",""
"2:52:52.7748233 PM","Photos.exe","6004","RegOpenKey","HKLM\Hardware\DeviceMap\Video","SUCCESS","Desired Access: Read"
"2:52:52.7748309 PM","Photos.exe","6004","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\\Device\Video0","SUCCESS","Type: REG_SZ, Length: 202, Data: "
"2:52:52.7748360 PM","Photos.exe","6004","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"2:53:02.0102531 PM","Photos.exe","6004","RegOpenKey","HKCR\PackagedCom\TreatAsClassIndex","NAME NOT FOUND","Desired Access: Read"
"2:53:02.0102847 PM","Photos.exe","6004","RegOpenKey","HKCR\PackagedCom\ClassIndex\{94269C4E-071A-4116-90E6-52E557067E4E}","NAME NOT FOUND","Desired Access: Read"
"2:53:02.0948026 PM","Photos.exe","6004","Thread Exit","","SUCCESS","Thread ID: 240, User Time: 0.0312500, Kernel Time: 0.0156250"
